frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud
5761,frame_005761.png,77.53,82.45,11.049,7.132,1.4826,2.9652,1080.69,552.21
5821,frame_005821.png,51.26,57.54,7.761,6.33,2.9652,2.9652,1001.04,409.09
5881,frame_005881.png,38.74,49.86,5.872,4.892,2.9652,2.9652,1159.17,442.64
5941,frame_005941.png,80.8,73.31,10.079,7.082,10.3781,10.3781,3035.48,1766.48
6001,frame_006001.png,36.08,34.74,5.373,4.801,2.9652,2.9652,1579.14,732.14
6061,frame_006061.png,93.66,106.78,22.165,28.608,0.0,0.0,422.65,5.32
6121,frame_006121.png,50.39,51.6,7.297,6.414,1.4826,1.4826,950.63,377.93
6181,frame_006181.png,36.5,41.66,5.059,5.492,2.9652,2.9652,1615.46,570.5
6241,frame_006241.png,58.86,59.19,6.81,5.601,1.4826,1.4826,897.33,463.71
6301,frame_006301.png,44.79,54.01,6.917,5.722,1.4826,1.4826,1273.54,402.39
6361,frame_006361.png,43.46,47.89,5.593,5.564,1.4826,1.4826,1281.17,462.36
6421,frame_006421.png,38.43,44.03,4.994,4.894,2.9652,1.4826,2238.5,853.4
6481,frame_006481.png,45.83,51.91,6.494,5.963,1.4826,1.4826,1546.75,682.15
6541,frame_006541.png,61.16,73.05,8.256,7.905,1.4826,1.4826,1758.62,829.86
6601,frame_006601.png,52.98,69.64,9.091,8.65,1.4826,1.4826,2192.98,865.3
6661,frame_006661.png,68.8,80.25,5.553,7.041,0.0,0.0,2461.33,928.67
6721,frame_006721.png,67.73,79.58,5.427,6.359,0.0,0.0,2495.16,941.95
6781,frame_006781.png,61.99,71.6,5.153,5.587,0.0,0.0,2468.33,949.74
6841,frame_006841.png,46.35,49.41,5.481,5.167,1.4826,1.4826,1473.05,677.86
6901,frame_006901.png,65.84,77.16,5.258,6.241,0.0,0.0,2587.34,1012.42
6961,frame_006961.png,67.75,78.75,4.47,5.346,0.0,0.0,2627.88,982.53
7021,frame_007021.png,67.36,80.13,6.781,5.892,0.0,0.0,2718.52,1048.98
7081,frame_007081.png,68.5,81.71,6.6,6.149,0.0,0.0,2738.08,1038.21
7141,frame_007141.png,68.71,81.58,6.254,6.002,0.0,0.0,2705.12,1022.84
7201,frame_007201.png,72.29,85.06,7.124,6.774,0.0,0.0,2665.7,1041.75
7261,frame_007261.png,71.86,86.01,6.827,6.405,0.0,0.0,2704.77,1044.59
7321,frame_007321.png,73.15,87.46,7.217,6.824,0.0,0.0,2718.72,1047.81
7381,frame_007381.png,73.97,88.27,7.388,7.36,0.0,0.0,2711.75,1046.21
7441,frame_007441.png,70.83,83.73,6.029,5.957,0.0,0.0,2716.52,1046.08
7501,frame_007501.png,71.55,85.25,6.068,6.083,0.0,0.0,2751.46,1047.57
7561,frame_007561.png,72.33,85.91,6.471,6.814,0.0,0.0,2738.9,1046.04
7621,frame_007621.png,71.91,85.41,6.376,6.398,0.0,0.0,2702.7,1046.3
7681,frame_007681.png,72.22,85.9,6.28,6.332,0.0,0.0,2707.02,1041.23
7741,frame_007741.png,72.11,85.02,6.324,6.583,0.0,0.0,2698.25,1040.11
7801,frame_007801.png,72.14,83.86,6.015,5.965,0.0,0.0,2674.88,1037.97
7861,frame_007861.png,70.83,82.32,5.853,6.451,0.0,0.0,2625.45,1038.51
7921,frame_007921.png,71.79,82.44,6.01,6.27,0.0,0.0,2605.95,1029.72
7981,frame_007981.png,69.93,81.77,6.24,6.576,0.0,0.0,2622.85,1019.51
8041,frame_008041.png,69.3,80.63,6.187,6.264,0.0,0.0,2594.28,1006.51
8101,frame_008101.png,70.39,81.79,6.536,6.844,0.0,0.0,2512.76,989.74
8161,frame_008161.png,70.05,80.48,6.274,6.308,0.0,0.0,2502.93,969.3
8221,frame_008221.png,72.64,83.59,6.498,6.397,0.0,0.0,2493.71,967.62
8281,frame_008281.png,70.89,81.05,6.437,6.374,0.0,0.0,2503.63,979.32
8341,frame_008341.png,72.25,83.86,6.453,6.502,0.0,0.0,2486.26,964.37
8401,frame_008401.png,68.24,78.0,5.589,6.325,0.0,0.0,2491.44,937.5
8461,frame_008461.png,67.08,77.18,5.105,5.714,0.0,0.0,2481.3,938.71
8521,frame_008521.png,67.13,76.23,5.562,5.772,0.0,0.0,2482.27,945.3
8581,frame_008581.png,65.2,74.2,5.46,5.529,0.0,0.0,2425.88,909.89
8641,frame_008641.png,65.8,74.72,5.097,5.342,0.0,0.0,2370.53,940.66
8701,frame_008701.png,67.17,78.59,4.83,4.768,0.0,0.0,2376.63,910.08
8761,frame_008761.png,65.99,77.14,5.144,4.783,0.0,0.0,2402.09,896.62
8821,frame_008821.png,62.09,72.08,4.669,4.391,0.0,0.0,2369.23,913.77
8881,frame_008881.png,61.8,72.19,4.935,4.651,0.0,0.0,2362.86,906.57
8941,frame_008941.png,60.93,70.28,4.995,4.542,0.0,0.0,2320.3,900.83
9001,frame_009001.png,59.62,67.6,5.144,4.725,0.0,0.0,2295.3,892.18
9061,frame_009061.png,59.73,68.91,5.043,4.503,0.0,0.0,2243.53,872.56
9121,frame_009121.png,58.85,66.67,5.473,4.932,0.0,0.0,2184.51,858.38
9181,frame_009181.png,55.77,63.36,5.859,4.965,1.4826,0.0,2168.71,832.64
9241,frame_009241.png,56.28,62.53,5.871,4.894,1.4826,1.4826,2096.3,817.84
9301,frame_009301.png,48.31,53.82,4.862,4.202,1.4826,1.4826,2083.79,822.21
9361,frame_009361.png,52.99,60.78,5.099,4.948,1.4826,1.4826,1939.31,813.44
9421,frame_009421.png,58.15,64.58,6.04,5.358,1.4826,1.4826,1654.16,761.23
9481,frame_009481.png,51.39,56.97,5.087,4.844,1.4826,1.4826,1859.99,782.65
9541,frame_009541.png,50.78,56.72,5.358,4.989,1.4826,1.4826,1816.25,772.23
9601,frame_009601.png,50.51,54.68,5.33,4.995,1.4826,1.4826,1792.39,783.61
9661,frame_009661.png,45.29,50.08,5.136,4.821,1.4826,1.4826,1852.79,765.51
9721,frame_009721.png,41.41,46.64,4.853,4.591,2.9652,2.9652,1815.06,653.99
9781,frame_009781.png,38.88,43.02,4.582,4.413,2.9652,2.9652,1778.76,593.56
9841,frame_009841.png,57.96,62.6,6.525,5.744,1.4826,1.4826,1469.44,704.78
9901,frame_009901.png,28.6,32.04,4.34,4.34,2.9652,2.9652,1724.05,627.65
9961,frame_009961.png,39.23,44.05,5.062,4.859,2.9652,1.4826,1586.02,628.21
10021,frame_010021.png,32.06,35.38,4.65,4.597,2.9652,2.9652,1756.66,647.48
10081,frame_010081.png,90.75,111.45,21.967,27.68,0.0,0.0,440.26,2.14
10141,frame_010141.png,37.0,42.65,5.347,5.013,1.4826,1.4826,1869.58,677.0
10201,frame_010201.png,53.89,61.24,6.786,6.352,1.4826,1.4826,1802.68,688.47
10261,frame_010261.png,47.48,46.44,5.698,5.025,1.4826,1.4826,988.85,420.37
10321,frame_010321.png,46.2,57.01,7.162,7.124,1.4826,1.4826,1344.56,431.13
10381,frame_010381.png,48.83,53.12,6.853,6.342,1.4826,1.4826,1411.63,614.74
10441,frame_010441.png,27.35,29.78,4.962,4.629,2.9652,2.9652,1736.95,647.36
10501,frame_010501.png,40.55,42.46,5.339,5.0,2.9652,2.9652,972.54,425.84
10561,frame_010561.png,92.02,110.32,22.641,26.485,0.0,0.0,364.56,4.78
10621,frame_010621.png,44.93,45.33,5.768,5.235,2.9652,2.9652,1166.47,603.71
10681,frame_010681.png,41.16,44.25,5.81,5.559,1.4826,1.4826,1365.89,561.28
10741,frame_010741.png,35.54,40.09,5.604,5.399,1.4826,1.4826,1409.36,520.42
10801,frame_010801.png,57.15,56.53,7.281,6.696,1.4826,1.4826,898.24,485.26
10861,frame_010861.png,46.73,49.68,6.223,5.655,2.9652,2.9652,1212.08,560.62
10921,frame_010921.png,37.32,37.98,4.841,4.548,4.4477,2.9652,1171.78,430.44
10981,frame_010981.png,35.43,36.9,4.805,4.264,4.4477,4.4477,1352.11,497.5
11041,frame_011041.png,37.28,40.5,5.37,5.042,2.9652,2.9652,1102.62,397.78
11101,frame_011101.png,42.4,42.56,6.012,5.089,4.4477,4.4477,560.63,230.29
11161,frame_011161.png,99.5,104.14,23.497,29.081,0.0,0.0,310.55,7.03
11221,frame_011221.png,57.71,54.8,5.953,6.005,4.4477,2.9652,1538.9,748.7
11281,frame_011281.png,60.4,58.35,7.25,6.508,1.4826,1.4826,393.79,202.85
11341,frame_011341.png,52.95,50.12,7.039,6.485,2.9652,2.9652,659.81,356.9
11401,frame_011401.png,97.55,111.42,22.272,29.5,0.0,0.0,429.98,5.49
11461,frame_011461.png,41.87,39.34,6.013,5.214,2.9652,2.9652,1124.34,439.55
11521,frame_011521.png,46.48,41.55,5.846,4.996,2.9652,2.9652,904.5,458.18
11581,frame_011581.png,41.46,44.63,5.991,5.345,1.4826,1.4826,1293.46,473.22
11641,frame_011641.png,37.51,42.02,5.774,5.524,2.9652,1.4826,1214.77,514.73
11701,frame_011701.png,53.64,50.83,7.036,6.107,1.4826,1.4826,903.19,538.91
11761,frame_011761.png,29.2,32.61,5.216,4.853,2.9652,2.9652,1247.64,460.84
11821,frame_011821.png,95.88,101.22,21.38,26.888,0.0,0.0,207.7,30.04
11881,frame_011881.png,31.29,36.01,4.957,4.948,2.9652,2.9652,1419.82,492.83
11941,frame_011941.png,32.39,37.31,5.01,4.888,2.9652,2.9652,1389.02,498.37
12001,frame_012001.png,39.66,41.05,6.459,5.481,2.9652,2.9652,1185.25,489.31
12061,frame_012061.png,48.38,53.12,6.722,6.085,1.4826,1.4826,1257.63,467.11
12121,frame_012121.png,26.03,30.78,4.452,4.504,2.9652,2.9652,1345.77,474.11
12181,frame_012181.png,57.56,56.28,7.01,6.487,1.4826,1.4826,814.01,399.79
12241,frame_012241.png,37.39,41.81,5.673,5.66,2.9652,2.9652,1305.09,454.41
12301,frame_012301.png,30.66,33.35,5.08,4.816,4.4477,2.9652,1303.76,438.22
12361,frame_012361.png,41.63,40.73,5.748,4.88,2.9652,2.9652,1151.41,451.22
12421,frame_012421.png,29.8,33.11,4.391,4.415,2.9652,2.9652,1112.23,329.19
12481,frame_012481.png,94.17,109.12,22.502,29.082,0.0,0.0,364.03,3.66
12541,frame_012541.png,42.3,40.07,5.562,4.809,2.9652,2.9652,1023.2,508.0
12601,frame_012601.png,29.13,29.39,4.711,3.849,4.4477,4.4477,1352.44,448.69
12661,frame_012661.png,40.55,46.39,6.053,5.677,2.9652,2.9652,1304.19,520.2
12721,frame_012721.png,38.85,41.96,5.621,5.315,2.9652,2.9652,1254.05,492.9
