frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud,brisque_denoised,niqe_denoised,sigma_denoised,var_lap_denoised
3271,frame_03271.png,74.29,88.87,9.943,11.925,1.4826,1.4826,2386.77,101.95,85.59,15.365,0.0,118.92
3301,frame_03301.png,110.59,105.27,20.908,26.623,0.0,0.0,2385.38,98.04,105.25,27.059,0.0,117.03
3331,frame_03331.png,79.36,95.3,9.427,14.847,0.0,0.0,2321.75,101.63,92.07,13.425,0.0,118.62
3361,frame_03361.png,90.07,102.27,11.381,18.605,0.0,0.0,2372.15,99.1,102.56,17.567,0.0,117.87
3391,frame_03391.png,19.25,11.46,6.602,9.038,8.8955,7.4129,2135.52,196.98,20.62,11.249,5.9303,197.42
3421,frame_03421.png,19.78,11.15,7.025,8.964,10.3781,8.8955,2020.82,208.3,24.24,11.515,7.4129,214.4
3451,frame_03451.png,19.21,11.58,6.555,9.148,10.3781,7.4129,2159.08,202.81,20.05,11.339,7.4129,198.48
3481,frame_03481.png,18.46,9.77,6.827,8.772,8.8955,7.4129,2081.89,199.54,19.73,11.232,7.4129,202.67
3511,frame_03511.png,19.11,10.3,6.827,8.878,10.3781,7.4129,2060.89,201.3,22.76,11.507,7.4129,205.99
3541,frame_03541.png,18.86,11.65,6.879,9.103,8.8955,5.9303,2144.77,182.09,16.5,10.955,4.4477,163.84
3571,frame_03571.png,18.73,9.73,6.554,8.791,8.8955,7.4129,2114.56,194.29,17.27,11.229,5.9303,188.5
3601,frame_03601.png,20.81,12.2,7.158,9.18,10.3781,8.8955,1949.64,209.32,27.34,12.087,8.8955,217.17
3631,frame_03631.png,18.08,10.51,6.387,8.867,8.8955,7.4129,2167.45,200.85,16.51,10.78,5.9303,182.71
3661,frame_03661.png,19.19,10.74,6.818,8.924,8.8955,7.4129,2014.3,200.8,24.08,11.645,7.4129,210.46
3691,frame_03691.png,16.92,9.5,6.182,8.824,8.8955,7.4129,2159.32,198.42,16.53,10.819,5.9303,184.03
3721,frame_03721.png,18.65,10.78,6.677,8.945,8.8955,7.4129,2051.83,198.16,22.64,11.466,7.4129,205.03
3751,frame_03751.png,94.61,89.89,10.89,8.678,111.1935,91.9199,18142.5,13373.3,95.28,9.405,90.4374,12108.25
3781,frame_03781.png,95.54,92.71,10.619,8.38,120.089,102.298,21397.66,15878.32,97.6,8.808,99.3328,14051.01
3811,frame_03811.png,95.68,91.34,11.05,8.811,115.6412,94.8851,19684.81,14589.51,96.37,9.614,94.8851,13220.16
3841,frame_03841.png,93.85,91.66,10.8,8.462,118.6064,99.3328,19770.96,14580.46,97.48,9.575,96.3677,12840.56
3871,frame_03871.png,88.77,84.73,10.602,7.895,99.3328,80.0593,16313.28,11599.8,90.73,8.862,78.5767,10368.94
3901,frame_03901.png,93.05,86.96,10.757,8.357,102.298,84.507,16519.61,12105.93,92.61,9.11,83.0245,11105.75
3931,frame_03931.png,84.63,82.45,8.153,6.785,45.96,34.0993,8654.63,5324.12,89.09,7.725,35.5819,4779.33
3961,frame_03961.png,57.7,51.54,7.985,6.071,57.8206,40.0297,6068.56,3142.48,72.6,7.904,40.0297,2839.92
3991,frame_03991.png,65.43,55.71,9.383,7.528,37.0645,29.6516,3289.11,1856.7,64.56,9.16,29.6516,1667.57
4021,frame_04021.png,54.22,46.57,8.486,7.132,32.6168,26.6864,2790.7,1318.39,61.15,8.952,26.6864,1182.99
4051,frame_04051.png,60.13,47.91,8.962,7.047,20.7561,19.2735,2577.54,1241.11,56.84,8.371,20.7561,1153.65
4081,frame_04081.png,49.4,19.22,6.319,5.036,22.2387,13.3432,1345.68,285.4,42.94,7.028,13.3432,268.16
4111,frame_04111.png,58.27,14.15,6.856,4.912,34.0993,19.2735,3222.61,736.73,38.4,5.529,19.2735,732.03
4141,frame_04141.png,71.55,57.95,8.315,6.186,28.169,22.2387,4236.7,2005.01,68.17,6.52,23.7213,1852.0
4171,frame_04171.png,66.18,58.17,8.08,6.54,35.5819,26.6864,3160.37,1665.48,68.16,8.213,26.6864,1509.26
4201,frame_04201.png,81.89,81.03,10.189,7.587,75.6116,59.3032,10587.87,7062.38,92.63,8.768,59.3032,6330.16
4231,frame_04231.png,75.25,68.01,8.938,7.46,54.8554,42.9948,5605.51,3757.52,78.94,9.223,41.5122,3276.27
4261,frame_04261.png,94.67,90.58,10.785,8.055,112.6761,88.9548,18688.85,13513.16,95.93,8.707,88.9548,11974.43
4291,frame_04291.png,90.92,85.36,10.255,7.872,87.4722,69.6812,15193.13,10662.04,90.57,8.454,71.1638,9676.64
4321,frame_04321.png,84.75,78.87,10.944,7.81,90.4374,71.1638,14700.62,10165.42,87.31,9.021,71.1638,9218.92
4351,frame_04351.png,83.2,74.74,10.925,7.795,68.1987,54.8554,9777.62,6675.15,82.77,9.29,56.338,6165.67
4381,frame_04381.png,79.36,72.97,9.781,7.33,42.9948,37.0645,5776.33,3598.89,76.77,8.047,37.0645,3326.15
4411,frame_04411.png,36.62,19.49,6.047,5.038,14.8258,13.3432,1476.82,355.65,34.72,6.829,11.8606,311.32
4441,frame_04441.png,35.02,14.22,6.618,4.339,10.3781,7.4129,1495.36,185.26,20.44,5.147,7.4129,173.82
4471,frame_04471.png,37.93,19.36,5.582,4.546,16.3084,11.8606,1408.92,341.08,34.17,6.313,11.8606,301.84
4501,frame_04501.png,44.21,23.01,7.045,4.594,10.3781,8.8955,1494.36,288.08,28.91,5.375,8.8955,268.97
4531,frame_04531.png,43.96,21.12,6.742,4.47,14.8258,11.8606,1476.0,302.11,33.85,5.668,11.8606,284.03
4561,frame_04561.png,55.38,32.15,6.754,5.392,19.2735,14.8258,1933.08,487.37,46.98,7.605,14.8258,443.06
4591,frame_04591.png,33.79,17.99,6.804,6.009,14.8258,11.8606,1327.95,306.43,31.92,7.786,11.8606,270.69
4621,frame_04621.png,21.75,12.43,6.863,8.748,8.8955,7.4129,2150.9,200.19,22.35,10.877,5.9303,200.35
4651,frame_04651.png,23.46,11.6,7.168,8.123,8.8955,7.4129,1928.05,202.96,21.48,9.922,7.4129,213.05
